,v1_name,v1_affect,v2_name,v2_affect,condition
0,d:/optilab/synchrony/data/videoACCEDE06618.mp4,highV_highA,d:/optilab/synchrony/data/videoACCEDE03981.mp4,highV_highA,same_affect_diff_name
1,d:/optilab/synchrony/data/videoACCEDE00847.mp4,highV_highA,d:/optilab/synchrony/data/videoACCEDE00880.mp4,highV_highA,same_affect_diff_name
2,d:/optilab/synchrony/data/videoACCEDE09013.mp4,highV_highA,d:/optilab/synchrony/data/videoACCEDE07673.mp4,lowV_highA,diff_name_diff_affect
3,d:/optilab/synchrony/data/videoACCEDE07643.mp4,highV_highA,d:/optilab/synchrony/data/videoACCEDE07643.mp4,highV_highA,same_name_same_affect
4,d:/optilab/synchrony/data/videoACCEDE01212.mp4,highV_highA,d:/optilab/synchrony/data/videoACCEDE07080.mp4,highV_highA,same_affect_diff_name
5,d:/optilab/synchrony/data/videoACCEDE06669.mp4,highV_highA,d:/optilab/synchrony/data/videoACCEDE06669.mp4,highV_highA,same_name_same_affect
6,d:/optilab/synchrony/data/videoACCEDE01207.mp4,highV_highA,d:/optilab/synchrony/data/videoACCEDE01207.mp4,highV_highA,same_name_same_affect
7,d:/optilab/synchrony/data/videoACCEDE08680.mp4,highV_highA,d:/optilab/synchrony/data/videoACCEDE02943.mp4,highV_highA,same_affect_diff_name
8,d:/optilab/synchrony/data/videoACCEDE08857.mp4,highV_highA,d:/optilab/synchrony/data/videoACCEDE08857.mp4,highV_highA,same_name_same_affect
9,d:/optilab/synchrony/data/videoACCEDE08736.mp4,highV_highA,d:/optilab/synchrony/data/videoACCEDE08736.mp4,highV_highA,same_name_same_affect
10,d:/optilab/synchrony/data/videoACCEDE07252.mp4,highV_highA,d:/optilab/synchrony/data/videoACCEDE01159.mp4,highV_lowA,diff_name_diff_affect
11,d:/optilab/synchrony/data/videoACCEDE07088.mp4,highV_highA,d:/optilab/synchrony/data/videoACCEDE07606.mp4,highV_lowA,diff_name_diff_affect
12,d:/optilab/synchrony/data/videoACCEDE00811.mp4,highV_highA,d:/optilab/synchrony/data/videoACCEDE08152.mp4,highV_lowA,diff_name_diff_affect
13,d:/optilab/synchrony/data/videoACCEDE04220.mp4,highV_highA,d:/optilab/synchrony/data/videoACCEDE07314.mp4,highV_highA,same_affect_diff_name
14,d:/optilab/synchrony/data/videoACCEDE07414.mp4,highV_highA,d:/optilab/synchrony/data/videoACCEDE06548.mp4,lowV_highA,diff_name_diff_affect
15,d:/optilab/synchrony/data/videoACCEDE04397.mp4,highV_highA,d:/optilab/synchrony/data/videoACCEDE09107.mp4,highV_highA,same_affect_diff_name
16,d:/optilab/synchrony/data/videoACCEDE01849.mp4,highV_highA,d:/optilab/synchrony/data/videoACCEDE01849.mp4,highV_highA,same_name_same_affect
17,d:/optilab/synchrony/data/videoACCEDE06654.mp4,highV_highA,d:/optilab/synchrony/data/videoACCEDE07325.mp4,highV_highA,same_affect_diff_name
18,d:/optilab/synchrony/data/videoACCEDE04687.mp4,highV_highA,d:/optilab/synchrony/data/videoACCEDE07881.mp4,lowV_lowA,diff_name_diff_affect
19,d:/optilab/synchrony/data/videoACCEDE01362.mp4,highV_highA,d:/optilab/synchrony/data/videoACCEDE00721.mp4,highV_lowA,diff_name_diff_affect
20,d:/optilab/synchrony/data/videoACCEDE07301.mp4,highV_highA,d:/optilab/synchrony/data/videoACCEDE08985.mp4,highV_highA,same_affect_diff_name
21,d:/optilab/synchrony/data/videoACCEDE03573.mp4,highV_highA,d:/optilab/synchrony/data/videoACCEDE03573.mp4,highV_highA,same_name_same_affect
22,d:/optilab/synchrony/data/videoACCEDE05522.mp4,highV_highA,d:/optilab/synchrony/data/videoACCEDE02112.mp4,lowV_highA,diff_name_diff_affect
